2023-09-25 07:38:16.271, INFO, checkin2, checkin, Checked in asset ARHS8294
2023-09-25 07:38:17.477, INFO, checkin2, checkin, Checked in asset ARHS8458
2023-09-25 07:38:18.686, INFO, checkin2, checkin, Checked in asset ARHS8641
2023-09-25 07:38:19.892, INFO, checkin2, checkin, Checked in asset ARHS8152
2023-09-25 07:39:12.475, INFO, checkin2, checkin, Checked in asset ARHS8294
2023-09-25 07:39:13.701, INFO, checkin2, checkin, Checked in asset ARHS8458
2023-09-25 07:39:14.915, INFO, checkin2, checkin, Checked in asset ARHS8641
2023-09-25 07:39:16.136, INFO, checkin2, checkin, Checked in asset ARHS8152
2023-09-25 07:39:17.384, INFO, checkin2, checkin, Checked in asset ARHS8328
2023-09-25 07:39:18.596, INFO, checkin2, checkin, Checked in asset ARHS8439
2023-09-25 07:39:19.854, INFO, checkin2, checkin, Checked in asset ARHS8547
2023-09-25 07:41:37.307, INFO, checkin2, checkin, Checked in asset ARHS8294
2023-09-25 07:41:38.590, INFO, checkin2, checkin, Checked in asset ARHS8458
2023-09-25 07:41:39.799, INFO, checkin2, checkin, Checked in asset ARHS8641
2023-09-25 08:32:47.809, INFO, snipeitCheckin, checkin, Checked in asset ARHS8294
2023-09-25 08:32:49.029, INFO, snipeitCheckin, checkin, Checked in asset ARHS8458
2023-09-25 08:32:50.520, INFO, snipeitCheckin, checkin, Checked in asset ARHS8641
2023-09-25 08:32:51.842, INFO, snipeitCheckin, checkin, Checked in asset ARHS8152
2023-09-25 08:55:56.595, INFO, snipeitCheckin, checkin, Checked in asset ARHS8548
